row_id,movie_id,person_id,statement_id
directors_8163,Q1440613,Q1620439,q1440613-25797f13-4786-9f4d-1e2d-a9f23b86b913
directors_8164,Q14407638,Q2394603,q14407638-117FD1A9-B5CB-4837-8984-AE573B1B051C
directors_8165,Q1440814,Q325805,q1440814-A3572F54-F1FB-4631-9C81-0217DD27004B
directors_8166,Q14421326,Q318712,q14421326-C32C461E-1E0C-442C-B5DB-0BDC1B547105
directors_8167,Q1442306,Q786469,q1442306-5B83569B-D28C-472F-BB6B-9C51669DD3DD
directors_8168,Q1443144,Q113410904,Q1443144-CB877204-A472-447B-A6F0-AF58E899238E
directors_8169,Q14433754,Q359331,Q14433754-AA2BC05E-5DCD-41CB-BACB-B3C0851C4953
directors_8170,Q14433973,Q115272114,Q14433973-E00A6D99-E1DA-421D-A513-EE902609C014
directors_8171,Q14434297,Q14639191,Q14434297-590CCCF0-B54C-4405-B149-A8FC665904C0
directors_8172,Q14434297,Q14641129,Q14434297-BAF880F3-0F68-49C0-81B9-A333EF9E4E3D
directors_8173,Q1443555,Q3876520,q1443555-2781807e-42cc-9ff5-f7a1-352839d4238d
directors_8174,Q14437345,Q114080313,Q14437345-97D7A870-299E-4D44-AB02-78A969F61002
directors_8175,Q1443738,Q1150229,q1443738-39140DD4-EDD9-4800-93AE-C2C65CD83B61
directors_8176,Q144380,Q19544718,Q144380-4635A398-310E-47CE-AA1F-F52CA0061911
directors_8177,Q14439446,Q117860603,Q14439446-7CACC622-043E-472B-9986-54F55E6C6FBA
directors_8178,Q1444046,Q96739386,Q1444046-47f65093-4f38-8244-fc87-1d4405fe3207
directors_8179,Q1444108,Q2745262,q1444108-47D4793E-B9E9-43A2-8D16-37890BE733E3
directors_8180,Q14453132,Q542400,Q14453132-F4610ACB-7AC8-4984-8847-36F378B8D6A5
directors_8181,Q14453450,Q1007923,q14453450-E5FA0E44-1239-48A1-97D1-FDE670AE6EBC
directors_8182,Q14458055,Q1681872,Q14458055-DDDB0034-2C3E-41D9-81B6-4BDA9D9A81E9
directors_8183,Q1445893,Q722352,q1445893-196D1092-FEE2-4C4C-B3A9-6067657FC74E
directors_8184,Q1446504,Q314403,q1446504-1BFD4910-7002-414C-AADC-3AE9B9BE77B5
directors_8185,Q14467251,Q2170671,q14467251-1785305F-C269-4F34-8B65-F570380DF585
directors_8186,Q1447525,Q57391,Q1447525-FE1CEEC4-90AA-4F53-87DA-53FFA6555632
directors_8187,Q144756,Q457656,q144756-AB6DE6DA-00A3-4827-A6F3-ADB8E4C48442
